temp,hum,press,datetime
33.70653533935547,29.280479431152344,1014.4853515625,2020-11-21 02:06:15.753183
33.687339782714844,29.280479431152344,1014.50341796875,2020-11-21 02:06:17.754091
33.610565185546875,29.266637802124023,1014.49072265625,2020-11-21 02:06:19.754928
33.59136962890625,29.26317596435547,1014.510986328125,2020-11-21 02:06:21.757369
33.610565185546875,29.266637802124023,1014.501708984375,2020-11-21 02:06:23.760210
33.70653533935547,29.280479431152344,1014.51171875,2020-11-21 02:06:25.761798
33.552982330322266,29.259716033935547,1014.498291015625,2020-11-21 02:06:27.767489
33.495399475097656,29.24933433532715,1014.505859375,2020-11-21 02:06:29.777806
33.552982330322266,29.259716033935547,1014.472412109375,2020-11-21 02:06:31.778573
33.495399475097656,29.24933433532715,1014.476806640625,2020-11-21 02:06:33.779181
33.59136962890625,29.26317596435547,1014.471923828125,2020-11-21 02:06:35.781282
33.572174072265625,29.26317596435547,1014.456298828125,2020-11-21 02:06:37.783673
33.572174072265625,29.26317596435547,1014.4609375,2020-11-21 02:06:39.784679
33.51459503173828,29.252796173095703,1014.4765625,2020-11-21 02:06:41.785555
33.45701217651367,29.245874404907227,1014.44677734375,2020-11-21 02:06:43.785990
33.45701217651367,29.245874404907227,1014.45751953125,2020-11-21 02:06:45.787937
33.39942932128906,29.235492706298828,1014.464111328125,2020-11-21 02:06:47.789012
33.39942932128906,29.235492706298828,1014.475341796875,2020-11-21 02:06:49.791834
33.41862487792969,29.23895263671875,1014.47998046875,2020-11-21 02:06:51.794754
33.34184646606445,29.228572845458984,1014.524169921875,2020-11-21 02:06:53.795553
33.39942932128906,29.235492706298828,1014.53759765625,2020-11-21 02:06:55.797355
33.36103820800781,29.228572845458984,1014.52587890625,2020-11-21 02:06:57.801116
33.24587631225586,29.21126937866211,1014.526611328125,2020-11-21 02:06:59.802629
33.169097900390625,29.20088768005371,1014.517822265625,2020-11-21 02:07:01.803977
33.32265090942383,29.22511100769043,1014.5126953125,2020-11-21 02:07:03.805905
33.24587631225586,29.21126937866211,1014.533935546875,2020-11-21 02:07:05.808114
33.13071060180664,29.193965911865234,1014.524169921875,2020-11-21 02:07:07.808781
33.169097900390625,29.21472930908203,1014.474365234375,2020-11-21 02:07:09.811567
33.207489013671875,29.207809448242188,1014.48193359375,2020-11-21 02:07:11.812691
33.207489013671875,29.207809448242188,1014.493408203125,2020-11-21 02:07:13.816916
33.169097900390625,29.20088768005371,1014.52734375,2020-11-21 02:07:15.817487
33.092323303222656,29.190505981445312,1014.515625,2020-11-21 02:07:17.817859
32.99635314941406,29.176664352416992,1014.52734375,2020-11-21 02:07:19.818663
33.111515045166016,29.193965911865234,1014.5107421875,2020-11-21 02:07:21.821315
33.149906158447266,29.19742774963379,1014.5087890625,2020-11-21 02:07:23.822523
33.149906158447266,29.19742774963379,1014.5341796875,2020-11-21 02:07:25.824069
33.207489013671875,29.207809448242188,1014.522216796875,2020-11-21 02:07:27.825420
33.18829345703125,29.204347610473633,1014.530517578125,2020-11-21 02:07:29.827774
33.13071060180664,29.193965911865234,1014.505126953125,2020-11-21 02:07:31.828350
33.149906158447266,29.19742774963379,1014.46875,2020-11-21 02:07:33.829792
32.99635314941406,29.176664352416992,1014.5009765625,2020-11-21 02:07:35.831172
33.07312774658203,29.18704605102539,1014.47705078125,2020-11-21 02:07:37.831835
33.149906158447266,29.19742774963379,1014.4951171875,2020-11-21 02:07:39.834371
33.053932189941406,29.18358612060547,1014.47900390625,2020-11-21 02:07:41.836427
33.111515045166016,29.193965911865234,1014.4619140625,2020-11-21 02:07:43.839900
33.092323303222656,29.190505981445312,1014.468994140625,2020-11-21 02:07:45.840838
33.149906158447266,29.19742774963379,1014.49365234375,2020-11-21 02:07:47.841224
33.18829345703125,29.190505981445312,1014.4638671875,2020-11-21 02:07:49.844014
33.226680755615234,29.21126937866211,1014.505615234375,2020-11-21 02:07:51.846154
33.07312774658203,29.18704605102539,1014.476806640625,2020-11-21 02:07:53.847620
33.149906158447266,29.19742774963379,1014.471435546875,2020-11-21 02:07:55.849884
33.053932189941406,29.18358612060547,1014.49658203125,2020-11-21 02:07:57.851540
33.053932189941406,29.18358612060547,1014.475341796875,2020-11-21 02:07:59.853443
33.01554489135742,29.176664352416992,1014.4853515625,2020-11-21 02:08:01.854040
32.99635314941406,29.176664352416992,1014.467041015625,2020-11-21 02:08:03.854877
33.03474044799805,29.180124282836914,1014.4951171875,2020-11-21 02:08:05.855432
