temp,datetime
22000,2020-12-05 17:45:24.871631
22000,2020-12-05 17:45:25.790689
21812,2020-12-05 17:45:26.672260
21812,2020-12-05 17:45:27.551848
21812,2020-12-05 17:45:28.432031
21875,2020-12-05 17:45:29.312062
21875,2020-12-05 17:45:30.192026
21875,2020-12-05 17:45:31.072018
21875,2020-12-05 17:45:31.952088
21875,2020-12-05 17:45:32.832184
21875,2020-12-05 17:45:33.712021
21937,2020-12-05 17:45:34.592205
21937,2020-12-05 17:45:35.471981
21937,2020-12-05 17:45:36.350621
21937,2020-12-05 17:45:37.232022
21875,2020-12-05 17:45:38.111747
21875,2020-12-05 17:45:38.991745
21875,2020-12-05 17:45:39.872005
21875,2020-12-05 17:45:40.751943
21937,2020-12-05 17:45:41.631855
21937,2020-12-05 17:45:42.511961
21937,2020-12-05 17:45:43.391987
21875,2020-12-05 17:45:44.271818
21875,2020-12-05 17:45:45.151710
21875,2020-12-05 17:45:46.032073
21875,2020-12-05 17:45:46.911999
21875,2020-12-05 17:45:47.831801
21937,2020-12-05 17:45:48.671788
21937,2020-12-05 17:45:49.551795
21875,2020-12-05 17:45:50.431970
21937,2020-12-05 17:45:51.312007
21875,2020-12-05 17:45:52.191782
21875,2020-12-05 17:45:53.072078
21875,2020-12-05 17:45:53.951965
21875,2020-12-05 17:45:54.832588
21875,2020-12-05 17:45:55.712057
21937,2020-12-05 17:45:56.592529
