temp,temp,datetime
21125,21000,2022-04-16 18:01:59.850111
21125,21000,2022-04-16 18:02:06.649640
21187,20937,2022-04-16 18:02:13.449683
21187,21000,2022-04-16 18:02:20.249743
21187,21000,2022-04-16 18:02:27.050333
21187,21000,2022-04-16 18:02:33.849620
21250,21000,2022-04-16 18:02:40.649686
21187,21000,2022-04-16 18:02:47.490087
21187,20937,2022-04-16 18:02:54.249664
21250,21000,2022-04-16 18:03:01.049638
21250,20937,2022-04-16 18:03:07.849814
21187,21000,2022-04-16 18:03:14.650494
21187,21000,2022-04-16 18:03:21.449855
21187,20937,2022-04-16 18:03:28.289327
21187,20937,2022-04-16 18:03:35.090112
21125,20937,2022-04-16 18:03:41.849656
21187,20937,2022-04-16 18:03:48.649608
21187,20937,2022-04-16 18:03:55.449664
21187,20937,2022-04-16 18:04:02.250396
21187,20937,2022-04-16 18:04:09.049618
21187,20937,2022-04-16 18:04:15.850227
21187,20937,2022-04-16 18:04:22.650386
