temp,temp,datetime
25562,24812,2023-09-09 16:16:56.675998
25625,24750,2023-09-09 16:17:03.475480
25625,24750,2023-09-09 16:17:10.275493
25625,24750,2023-09-09 16:17:17.075498
25625,24812,2023-09-09 16:17:23.875527
25625,24812,2023-09-09 16:17:30.716301
25625,24812,2023-09-09 16:17:37.475531
25625,24812,2023-09-09 16:17:44.275509
25625,24812,2023-09-09 16:17:51.105768
25625,24812,2023-09-09 16:17:57.875557
25625,24812,2023-09-09 16:18:04.675552
25625,24812,2023-09-09 16:18:11.475512
25625,24812,2023-09-09 16:18:18.275714
25562,24812,2023-09-09 16:18:25.075543
25562,24812,2023-09-09 16:18:31.875550
25625,24812,2023-09-09 16:18:38.675591
25625,24750,2023-09-09 16:18:45.475718
25625,24750,2023-09-09 16:18:52.275568
25625,24812,2023-09-09 16:18:59.075574
25625,24812,2023-09-09 16:19:05.875573
25625,24812,2023-09-09 16:19:12.675624
25625,24812,2023-09-09 16:19:19.475580
25625,24812,2023-09-09 16:19:26.275550
25562,24812,2023-09-09 16:19:33.075568
25562,24812,2023-09-09 16:19:39.876233
25562,24812,2023-09-09 16:19:46.675527
25562,24812,2023-09-09 16:19:53.475526
25562,24812,2023-09-09 16:20:00.275552
25562,24812,2023-09-09 16:20:07.075568
25562,24812,2023-09-09 16:20:13.875616
25562,24812,2023-09-09 16:20:20.675510
25562,24812,2023-09-09 16:20:27.475476
25562,24812,2023-09-09 16:20:34.275591
25562,24812,2023-09-09 16:20:41.075607
25562,24812,2023-09-09 16:20:47.875470
25562,24812,2023-09-09 16:20:54.675502
25562,24812,2023-09-09 16:21:01.475596
25625,24812,2023-09-09 16:21:08.275601
25562,24812,2023-09-09 16:21:15.075499
25562,24812,2023-09-09 16:21:21.875501
25562,24812,2023-09-09 16:21:28.675926
25562,24812,2023-09-09 16:21:35.475565
25562,24812,2023-09-09 16:21:42.275766
25562,24812,2023-09-09 16:21:49.075606
25562,24812,2023-09-09 16:21:55.875627
25562,24812,2023-09-09 16:22:02.675875
25562,24812,2023-09-09 16:22:09.475632
25562,24812,2023-09-09 16:22:16.275642
25562,24812,2023-09-09 16:22:23.075679
25562,24812,2023-09-09 16:22:29.875698
25562,24812,2023-09-09 16:22:36.675640
25562,24812,2023-09-09 16:22:43.475656
25562,24812,2023-09-09 16:22:50.275674
25562,24812,2023-09-09 16:22:57.075689
25562,24812,2023-09-09 16:23:03.875730
25562,24812,2023-09-09 16:23:10.675643
25562,24812,2023-09-09 16:23:17.555487
25562,24812,2023-09-09 16:23:24.355804
25562,24812,2023-09-09 16:23:31.155442
25562,24812,2023-09-09 16:23:37.955406
25562,24875,2023-09-09 16:23:44.755576
25625,24875,2023-09-09 16:23:51.555418
25625,24875,2023-09-09 16:23:58.355412
25687,24812,2023-09-09 16:24:05.155582
25625,24812,2023-09-09 16:24:11.956307
25625,24812,2023-09-09 16:24:18.756224
25625,24875,2023-09-09 16:24:25.555619
25625,24875,2023-09-09 16:24:32.355576
25625,24875,2023-09-09 16:24:39.195248
25562,24812,2023-09-09 16:24:45.955813
25562,24812,2023-09-09 16:24:52.756030
25625,24875,2023-09-09 16:24:59.596341
25625,24875,2023-09-09 16:25:06.355788
25562,24875,2023-09-09 16:25:13.155690
25562,24875,2023-09-09 16:25:19.961036
25625,24875,2023-09-09 16:25:26.755664
25625,24812,2023-09-09 16:25:33.555686
25625,24812,2023-09-09 16:25:40.356228
25625,24875,2023-09-09 16:25:47.155752
25625,24812,2023-09-09 16:25:53.955549
25562,24875,2023-09-09 16:26:00.755596
25625,24875,2023-09-09 16:26:07.555671
25625,24812,2023-09-09 16:26:14.355666
25625,24875,2023-09-09 16:26:21.155575
25625,24875,2023-09-09 16:26:27.955533
25562,24875,2023-09-09 16:26:34.755509
25562,24875,2023-09-09 16:26:41.555609
25562,24812,2023-09-09 16:26:48.355583
25562,24875,2023-09-09 16:26:55.155665
25625,24875,2023-09-09 16:27:01.955768
25562,24812,2023-09-09 16:27:08.755652
25562,24812,2023-09-09 16:27:15.556319
25625,24875,2023-09-09 16:27:22.355584
25625,24812,2023-09-09 16:27:29.155587
25625,24812,2023-09-09 16:27:35.955757
25625,24812,2023-09-09 16:27:42.755818
25625,24812,2023-09-09 16:27:49.555396
25625,24812,2023-09-09 16:27:56.355819
25625,24812,2023-09-09 16:28:03.155723
25625,24875,2023-09-09 16:28:09.955737
25625,24875,2023-09-09 16:28:16.755584
25625,24875,2023-09-09 16:28:23.555736
25625,24875,2023-09-09 16:28:30.355606
25625,24875,2023-09-09 16:28:37.155588
25625,24812,2023-09-09 16:28:43.959200
25625,24812,2023-09-09 16:28:50.755582
25687,24812,2023-09-09 16:28:57.555527
25625,24812,2023-09-09 16:29:04.355668
25625,24812,2023-09-09 16:29:11.155621
25625,24812,2023-09-09 16:29:18.035672
25625,24812,2023-09-09 16:29:24.835767
25625,24812,2023-09-09 16:29:31.636967
25625,24875,2023-09-09 16:29:38.435726
25625,24875,2023-09-09 16:29:45.235620
25625,24875,2023-09-09 16:29:52.035609
25625,24812,2023-09-09 16:29:58.835558
25625,24875,2023-09-09 16:30:05.635625
25625,24875,2023-09-09 16:30:12.436151
25625,24937,2023-09-09 16:30:19.235683
25625,24875,2023-09-09 16:30:26.035768
25625,24937,2023-09-09 16:30:32.835671
25625,24875,2023-09-09 16:30:39.715588
25625,24875,2023-09-09 16:30:46.515695
25625,24937,2023-09-09 16:30:53.315588
25687,24875,2023-09-09 16:31:00.195694
25687,24875,2023-09-09 16:31:06.995939
25687,24875,2023-09-09 16:31:13.795719
25687,24875,2023-09-09 16:31:20.675791
25687,24875,2023-09-09 16:31:27.474913
25687,24875,2023-09-09 16:31:34.275689
25687,24875,2023-09-09 16:31:41.155653
25687,24875,2023-09-09 16:31:47.955624
25687,24875,2023-09-09 16:31:54.755642
25687,24875,2023-09-09 16:32:01.635627
25687,24875,2023-09-09 16:32:08.435757
25687,24875,2023-09-09 16:32:15.235769
25687,24875,2023-09-09 16:32:22.115568
25687,24875,2023-09-09 16:32:28.915564
25625,24875,2023-09-09 16:32:35.715603
25625,24875,2023-09-09 16:32:42.595596
25625,24875,2023-09-09 16:32:49.395581
25625,24875,2023-09-09 16:32:56.195672
25625,24875,2023-09-09 16:33:03.115629
25625,24875,2023-09-09 16:33:09.875568
25687,24875,2023-09-09 16:33:16.675637
25687,24875,2023-09-09 16:33:23.555581
25687,24875,2023-09-09 16:33:30.355729
25625,24937,2023-09-09 16:33:37.155562
25625,24875,2023-09-09 16:33:43.955570
25687,24937,2023-09-09 16:33:50.755518
25687,24875,2023-09-09 16:33:57.555542
25625,24875,2023-09-09 16:34:04.355162
25687,24875,2023-09-09 16:34:11.235597
25687,24875,2023-09-09 16:34:18.035674
25687,24875,2023-09-09 16:34:24.835372
25687,24875,2023-09-09 16:34:31.635743
25687,24875,2023-09-09 16:34:38.435635
25687,24875,2023-09-09 16:34:45.235978
25687,24875,2023-09-09 16:34:52.037017
25687,24875,2023-09-09 16:34:58.835667
25625,24875,2023-09-09 16:35:05.676891
25687,24937,2023-09-09 16:35:12.435577
25687,24937,2023-09-09 16:35:19.235699
25625,24875,2023-09-09 16:35:26.035859
25687,24875,2023-09-09 16:35:32.835830
25687,24875,2023-09-09 16:35:39.635715
25687,24875,2023-09-09 16:35:46.435778
25687,24875,2023-09-09 16:35:53.235741
25687,24875,2023-09-09 16:36:00.036345
25687,24937,2023-09-09 16:36:06.835644
25687,24937,2023-09-09 16:36:13.635713
25625,24937,2023-09-09 16:36:20.435667
25750,24875,2023-09-09 16:36:27.235736
25687,24937,2023-09-09 16:36:34.035673
25687,24937,2023-09-09 16:36:40.835590
25687,24937,2023-09-09 16:36:47.635676
25687,24937,2023-09-09 16:36:54.450481
25687,24937,2023-09-09 16:37:01.235581
25687,24937,2023-09-09 16:37:08.035736
25687,24937,2023-09-09 16:37:14.835577
25687,24937,2023-09-09 16:37:21.635808
25687,24937,2023-09-09 16:37:28.435515
25687,25000,2023-09-09 16:37:35.235568
25687,24937,2023-09-09 16:37:42.035517
25687,24937,2023-09-09 16:37:48.836337
25687,25000,2023-09-09 16:37:55.635652
25687,25000,2023-09-09 16:38:02.435746
25687,24937,2023-09-09 16:38:09.235636
25687,25000,2023-09-09 16:38:16.035655
25687,25000,2023-09-09 16:38:22.835662
25687,25000,2023-09-09 16:38:29.635634
25687,24937,2023-09-09 16:38:36.435571
25687,24937,2023-09-09 16:38:43.234822
25750,25000,2023-09-09 16:38:50.035653
25687,25000,2023-09-09 16:38:56.835663
25687,25000,2023-09-09 16:39:03.635509
25687,25000,2023-09-09 16:39:10.435690
25687,25000,2023-09-09 16:39:17.235796
25687,25000,2023-09-09 16:39:24.035738
25687,25000,2023-09-09 16:39:30.835717
25687,25000,2023-09-09 16:39:37.635301
25687,25000,2023-09-09 16:39:44.435738
25687,24937,2023-09-09 16:39:51.235652
25687,25000,2023-09-09 16:39:58.035586
25687,25000,2023-09-09 16:40:04.835571
25687,25000,2023-09-09 16:40:11.638143
25687,25000,2023-09-09 16:40:18.435618
25687,25000,2023-09-09 16:40:25.235675
25687,25000,2023-09-09 16:40:32.052077
25687,25000,2023-09-09 16:40:38.835641
25687,25000,2023-09-09 16:40:45.639309
25750,25000,2023-09-09 16:40:52.435566
25750,25000,2023-09-09 16:40:59.235641
25750,25000,2023-09-09 16:41:06.035633
25750,24937,2023-09-09 16:41:12.835711
25750,25000,2023-09-09 16:41:19.635461
25750,25000,2023-09-09 16:41:26.434955
25750,25000,2023-09-09 16:41:33.235476
25750,25000,2023-09-09 16:41:40.035483
25750,25000,2023-09-09 16:41:46.835474
25750,25000,2023-09-09 16:41:53.635548
25750,25000,2023-09-09 16:42:00.435537
25750,25000,2023-09-09 16:42:07.235702
25750,25000,2023-09-09 16:42:14.035618
25750,25000,2023-09-09 16:42:20.835674
25750,25000,2023-09-09 16:42:27.635637
25750,25000,2023-09-09 16:42:34.435731
25750,25000,2023-09-09 16:42:41.235638
25750,25000,2023-09-09 16:42:48.035593
25750,25000,2023-09-09 16:42:54.835572
25687,25000,2023-09-09 16:43:01.635658
25750,25000,2023-09-09 16:43:08.435545
25750,25000,2023-09-09 16:43:15.246807
25750,25000,2023-09-09 16:43:22.035634
25687,25000,2023-09-09 16:43:28.835542
25750,25000,2023-09-09 16:43:35.635706
25687,25000,2023-09-09 16:43:42.435624
25750,25000,2023-09-09 16:43:49.235575
25750,25000,2023-09-09 16:43:56.035585
25750,25000,2023-09-09 16:44:02.835566
25687,25000,2023-09-09 16:44:09.635838
25687,25000,2023-09-09 16:44:16.435520
25750,25000,2023-09-09 16:44:23.275840
25750,25000,2023-09-09 16:44:30.035630
25750,25000,2023-09-09 16:44:36.835486
25750,25000,2023-09-09 16:44:43.635748
25687,25000,2023-09-09 16:44:50.435603
25687,25000,2023-09-09 16:44:57.276024
25687,25062,2023-09-09 16:45:04.035773
25750,25000,2023-09-09 16:45:10.835648
25687,25000,2023-09-09 16:45:17.635652
25687,25000,2023-09-09 16:45:24.435712
25750,25000,2023-09-09 16:45:31.315632
25750,25000,2023-09-09 16:45:38.115626
25687,25062,2023-09-09 16:45:44.915631
25750,25062,2023-09-09 16:45:51.715244
25750,25062,2023-09-09 16:45:58.515354
25750,25062,2023-09-09 16:46:05.315608
25750,25000,2023-09-09 16:46:12.116069
25750,25062,2023-09-09 16:46:18.915832
25750,25062,2023-09-09 16:46:25.715739
25750,25062,2023-09-09 16:46:32.515761
25750,25062,2023-09-09 16:46:39.315840
25750,25062,2023-09-09 16:46:46.115903
25750,25062,2023-09-09 16:46:52.946017
25750,25062,2023-09-09 16:46:59.715719
25812,25062,2023-09-09 16:47:06.515734
25812,25062,2023-09-09 16:47:13.356684
25750,25062,2023-09-09 16:47:20.116301
25750,25062,2023-09-09 16:47:26.915617
25750,25062,2023-09-09 16:47:33.715589
25812,25062,2023-09-09 16:47:40.515856
25750,25062,2023-09-09 16:47:47.315670
25750,25125,2023-09-09 16:47:54.115570
25750,25062,2023-09-09 16:48:00.915635
25812,25125,2023-09-09 16:48:07.715594
25750,25125,2023-09-09 16:48:14.515551
25812,25125,2023-09-09 16:48:21.315578
25750,25125,2023-09-09 16:48:28.115599
25750,25125,2023-09-09 16:48:34.915601
25750,25062,2023-09-09 16:48:41.715596
25750,25125,2023-09-09 16:48:48.515586
25812,25125,2023-09-09 16:48:55.315639
25750,25125,2023-09-09 16:49:02.115627
25750,25062,2023-09-09 16:49:08.915640
25812,25062,2023-09-09 16:49:15.715483
25750,25125,2023-09-09 16:49:22.515486
25750,25062,2023-09-09 16:49:29.322161
25812,25125,2023-09-09 16:49:36.116453
25750,25125,2023-09-09 16:49:42.915663
25750,25062,2023-09-09 16:49:49.715667
25750,25062,2023-09-09 16:49:56.515635
25750,25125,2023-09-09 16:50:03.315759
25750,25062,2023-09-09 16:50:10.115638
25750,25062,2023-09-09 16:50:16.915654
25750,25062,2023-09-09 16:50:23.715641
25750,25125,2023-09-09 16:50:30.515601
25750,25062,2023-09-09 16:50:37.315538
25750,25125,2023-09-09 16:50:44.116123
25812,25062,2023-09-09 16:50:50.915568
25750,25062,2023-09-09 16:50:57.715590
25750,25062,2023-09-09 16:51:04.515634
25812,25062,2023-09-09 16:51:11.315621
25750,25062,2023-09-09 16:51:18.115784
25750,25125,2023-09-09 16:51:24.915910
25750,25062,2023-09-09 16:51:31.715818
25812,25062,2023-09-09 16:51:38.515713
25812,25062,2023-09-09 16:51:45.315998
25812,25125,2023-09-09 16:51:52.115666
25750,25062,2023-09-09 16:51:58.915662
25750,25062,2023-09-09 16:52:05.715616
25750,25062,2023-09-09 16:52:12.515598
25750,25062,2023-09-09 16:52:19.315554
25750,25062,2023-09-09 16:52:26.115837
25750,25062,2023-09-09 16:52:32.915614
25750,25062,2023-09-09 16:52:39.715588
25750,25062,2023-09-09 16:52:46.515660
25750,25062,2023-09-09 16:52:53.315741
25812,25062,2023-09-09 16:53:00.115733
25750,25062,2023-09-09 16:53:06.915746
25812,25062,2023-09-09 16:53:13.716028
25812,25125,2023-09-09 16:53:20.515712
25812,25062,2023-09-09 16:53:27.316062
25750,25062,2023-09-09 16:53:34.115718
25750,25062,2023-09-09 16:53:40.915955
25750,25062,2023-09-09 16:53:47.715675
25812,25062,2023-09-09 16:53:54.515776
25750,25062,2023-09-09 16:54:01.315617
25812,25062,2023-09-09 16:54:08.115660
25750,25062,2023-09-09 16:54:14.915688
25812,25000,2023-09-09 16:54:21.795333
25812,25062,2023-09-09 16:54:28.595627
25812,25062,2023-09-09 16:54:35.395643
25750,25062,2023-09-09 16:54:42.195740
25750,25062,2023-09-09 16:54:48.995639
25750,25000,2023-09-09 16:54:55.795642
25750,25062,2023-09-09 16:55:02.595652
25750,25062,2023-09-09 16:55:09.395664
25812,25000,2023-09-09 16:55:16.275685
25750,25062,2023-09-09 16:55:23.075729
25750,25062,2023-09-09 16:55:29.875638
25750,25062,2023-09-09 16:55:36.675756
25750,25062,2023-09-09 16:55:43.475699
25750,25062,2023-09-09 16:55:50.275580
25750,25062,2023-09-09 16:55:57.075703
25750,25000,2023-09-09 16:56:03.875815
25812,25000,2023-09-09 16:56:10.675614
25750,25062,2023-09-09 16:56:17.475613
25750,25062,2023-09-09 16:56:24.275714
25812,25000,2023-09-09 16:56:31.075582
25750,25062,2023-09-09 16:56:37.875587
25812,25062,2023-09-09 16:56:44.675658
25750,25062,2023-09-09 16:56:51.475564
25750,25125,2023-09-09 16:56:58.275733
25750,25062,2023-09-09 16:57:05.075291
25750,25062,2023-09-09 16:57:11.876012
25812,25062,2023-09-09 16:57:18.675567
25750,25062,2023-09-09 16:57:25.475632
25750,25062,2023-09-09 16:57:32.275515
25750,25000,2023-09-09 16:57:39.075202
25750,25000,2023-09-09 16:57:45.915381
25750,25000,2023-09-09 16:57:52.675612
25750,25000,2023-09-09 16:57:59.486377
25750,25000,2023-09-09 16:58:06.275777
25750,25000,2023-09-09 16:58:13.075611
25812,25000,2023-09-09 16:58:19.875754
25750,25000,2023-09-09 16:58:26.675847
25750,25000,2023-09-09 16:58:33.475490
25750,25000,2023-09-09 16:58:40.275553
25750,25062,2023-09-09 16:58:47.075578
25750,25000,2023-09-09 16:58:53.875531
25750,25000,2023-09-09 16:59:00.675249
25750,25000,2023-09-09 16:59:07.475596
25750,25000,2023-09-09 16:59:14.275587
25812,25062,2023-09-09 16:59:21.076926
25750,25000,2023-09-09 16:59:27.875649
25812,25000,2023-09-09 16:59:34.675620
25750,25000,2023-09-09 16:59:41.515748
25750,25000,2023-09-09 16:59:48.275634
25750,25000,2023-09-09 16:59:55.076924
25750,25000,2023-09-09 17:00:01.875914
25750,25000,2023-09-09 17:00:08.675662
25750,25000,2023-09-09 17:00:15.475579
25812,25000,2023-09-09 17:00:22.275627
25750,25000,2023-09-09 17:00:29.075648
25750,25062,2023-09-09 17:00:35.875605
25750,25000,2023-09-09 17:00:42.675638
25750,25000,2023-09-09 17:00:49.481075
25750,25000,2023-09-09 17:00:56.275572
25750,25000,2023-09-09 17:01:03.075620
25750,25000,2023-09-09 17:01:09.875845
25750,25000,2023-09-09 17:01:16.675582
25750,25000,2023-09-09 17:01:23.475602
25750,25000,2023-09-09 17:01:30.275716
25750,25000,2023-09-09 17:01:37.086412
25750,25000,2023-09-09 17:01:43.875791
25750,25000,2023-09-09 17:01:50.675757
25750,25000,2023-09-09 17:01:57.475606
25750,25000,2023-09-09 17:02:04.275604
25750,25000,2023-09-09 17:02:11.075723
25750,25000,2023-09-09 17:02:17.875601
25750,25000,2023-09-09 17:02:24.675605
25750,25000,2023-09-09 17:02:31.475644
25750,25000,2023-09-09 17:02:38.275607
25750,25000,2023-09-09 17:02:45.075603
25750,25000,2023-09-09 17:02:51.875647
25750,25000,2023-09-09 17:02:58.675665
25750,25000,2023-09-09 17:03:05.475665
25687,25000,2023-09-09 17:03:12.275858
25750,25062,2023-09-09 17:03:19.075548
25750,25000,2023-09-09 17:03:25.875619
25750,24937,2023-09-09 17:03:32.675672
25750,25000,2023-09-09 17:03:39.475614
25750,24937,2023-09-09 17:03:46.275622
25687,25000,2023-09-09 17:03:53.075768
25687,25000,2023-09-09 17:03:59.875572
25687,25000,2023-09-09 17:04:06.680872
25750,25000,2023-09-09 17:04:13.475307
25750,24937,2023-09-09 17:04:20.275621
25750,25000,2023-09-09 17:04:27.075629
25750,25000,2023-09-09 17:04:33.875670
25750,25000,2023-09-09 17:04:40.675591
25750,24937,2023-09-09 17:04:47.475689
25750,25000,2023-09-09 17:04:54.275631
25687,25000,2023-09-09 17:05:01.075531
25687,25000,2023-09-09 17:05:07.875626
25687,25000,2023-09-09 17:05:14.674876
25687,25000,2023-09-09 17:05:21.475582
25687,24937,2023-09-09 17:05:28.275719
25687,25000,2023-09-09 17:05:35.075783
25687,24937,2023-09-09 17:05:41.875594
25750,24937,2023-09-09 17:05:48.675595
25750,24937,2023-09-09 17:05:55.475969
25687,24937,2023-09-09 17:06:02.275601
25750,24937,2023-09-09 17:06:09.075053
25750,24937,2023-09-09 17:06:15.875649
25687,24937,2023-09-09 17:06:22.675607
25750,24937,2023-09-09 17:06:29.475810
25750,24937,2023-09-09 17:06:36.275741
25687,25000,2023-09-09 17:06:43.075586
25687,24937,2023-09-09 17:06:49.875613
25750,24937,2023-09-09 17:06:56.675773
25687,24937,2023-09-09 17:07:03.475939
25687,24937,2023-09-09 17:07:10.275715
25687,24937,2023-09-09 17:07:17.075644
25687,24937,2023-09-09 17:07:23.875551
25687,24875,2023-09-09 17:07:30.675734
25687,24875,2023-09-09 17:07:37.475649
25687,24875,2023-09-09 17:07:44.275587
25687,24937,2023-09-09 17:07:51.075679
25687,24937,2023-09-09 17:07:57.875829
25687,24937,2023-09-09 17:08:04.675592
25687,24875,2023-09-09 17:08:11.475581
25687,24937,2023-09-09 17:08:18.275667
25687,24875,2023-09-09 17:08:25.075612
25687,24937,2023-09-09 17:08:31.876321
25687,24875,2023-09-09 17:08:38.675684
25687,24875,2023-09-09 17:08:45.475597
25687,24875,2023-09-09 17:08:52.277524
25687,24937,2023-09-09 17:08:59.075658
25687,24937,2023-09-09 17:09:05.875584
25687,24875,2023-09-09 17:09:12.675646
25687,24875,2023-09-09 17:09:19.475786
25687,24937,2023-09-09 17:09:26.275577
25687,24937,2023-09-09 17:09:33.075619
25687,24875,2023-09-09 17:09:39.875633
25687,24937,2023-09-09 17:09:46.674809
25687,24875,2023-09-09 17:09:53.475617
25687,24875,2023-09-09 17:10:00.275656
25687,24875,2023-09-09 17:10:07.075679
25687,24875,2023-09-09 17:10:13.875698
25687,24875,2023-09-09 17:10:20.675868
25687,24875,2023-09-09 17:10:27.475614
25687,24875,2023-09-09 17:10:34.275589
25687,24875,2023-09-09 17:10:41.075724
25687,24875,2023-09-09 17:10:47.875199
25687,24875,2023-09-09 17:10:54.675578
25625,24875,2023-09-09 17:11:01.475996
25687,24875,2023-09-09 17:11:08.275508
25687,24875,2023-09-09 17:11:15.075661
25625,24875,2023-09-09 17:11:21.875588
25687,24875,2023-09-09 17:11:28.716441
25687,24937,2023-09-09 17:11:35.475559
25625,24937,2023-09-09 17:11:42.275678
25625,24875,2023-09-09 17:11:49.075534
25687,24875,2023-09-09 17:11:55.875545
25625,24875,2023-09-09 17:12:02.675711
25625,24875,2023-09-09 17:12:09.475606
25687,24875,2023-09-09 17:12:16.275811
25625,24875,2023-09-09 17:12:23.075707
25625,24875,2023-09-09 17:12:29.881047
25687,24875,2023-09-09 17:12:36.675800
25687,24875,2023-09-09 17:12:43.476116
25625,24875,2023-09-09 17:12:50.275684
25687,24875,2023-09-09 17:12:57.075661
25687,24875,2023-09-09 17:13:03.875839
25687,24875,2023-09-09 17:13:10.675654
25687,24875,2023-09-09 17:13:17.475656
25687,24875,2023-09-09 17:13:24.275704
25687,24875,2023-09-09 17:13:31.075650
25687,24875,2023-09-09 17:13:37.875759
25687,24875,2023-09-09 17:13:44.675690
25687,24875,2023-09-09 17:13:51.475607
25687,24875,2023-09-09 17:13:58.275663
25687,24875,2023-09-09 17:14:05.075772
25687,24875,2023-09-09 17:14:11.875724
25687,24875,2023-09-09 17:14:18.675626
25687,24812,2023-09-09 17:14:25.475656
25687,24875,2023-09-09 17:14:32.275589
25687,24875,2023-09-09 17:14:39.075700
25687,24875,2023-09-09 17:14:45.875629
25625,24812,2023-09-09 17:14:52.675589
25687,24812,2023-09-09 17:14:59.475718
25687,24812,2023-09-09 17:15:06.276218
25687,24875,2023-09-09 17:15:13.075584
25687,24812,2023-09-09 17:15:19.875904
25687,24875,2023-09-09 17:15:26.675754
25687,24812,2023-09-09 17:15:33.475752
25687,24812,2023-09-09 17:15:40.275736
25687,24875,2023-09-09 17:15:47.075781
25687,24812,2023-09-09 17:15:53.875748
25687,24875,2023-09-09 17:16:00.676255
25625,24812,2023-09-09 17:16:07.475865
25687,24875,2023-09-09 17:16:14.275997
25687,24812,2023-09-09 17:16:21.075747
25687,24875,2023-09-09 17:16:27.875947
25687,24812,2023-09-09 17:16:34.675758
25687,24875,2023-09-09 17:16:41.475892
25687,24812,2023-09-09 17:16:48.275820
25687,24875,2023-09-09 17:16:55.075748
25625,24875,2023-09-09 17:17:01.874941
25687,24812,2023-09-09 17:17:08.675774
25687,24812,2023-09-09 17:17:15.475645
25687,24875,2023-09-09 17:17:22.275733
25625,24812,2023-09-09 17:17:29.075830
25687,24812,2023-09-09 17:17:35.875604
25687,24812,2023-09-09 17:17:42.675632
25687,24812,2023-09-09 17:17:49.475793
25687,24875,2023-09-09 17:17:56.275622
25687,24812,2023-09-09 17:18:03.075599
25687,24812,2023-09-09 17:18:09.875664
25687,24812,2023-09-09 17:18:16.675677
25687,24812,2023-09-09 17:18:23.475723
25687,24812,2023-09-09 17:18:30.275743
25687,24875,2023-09-09 17:18:37.075588
25687,24812,2023-09-09 17:18:43.875841
25687,24812,2023-09-09 17:18:50.675635
25625,24812,2023-09-09 17:18:57.475684
25687,24812,2023-09-09 17:19:04.275569
25687,24812,2023-09-09 17:19:11.075554
25687,24812,2023-09-09 17:19:17.875501
25687,24812,2023-09-09 17:19:24.675521
25687,24875,2023-09-09 17:19:31.475526
25687,24812,2023-09-09 17:19:38.275519
25687,24812,2023-09-09 17:19:45.075852
